module_name,module,method,full_path,handler,file,websocket,auth,direct_resource,notes
Kubernetes 资源,kubernetes_resources,GET,/apis/resources.testudo.softcdata.com/v1/:resource,k.getResources,internal/apis/kubernetes_resources/router.go,否,JWT（dev 环境跳过）,Kubernetes 原生资源列表,
事件与历史,event/v1,GET,/apis/v1/:resource/:name/history,h.listResourceEvents,internal/apis/event/v1/router.go,否,JWT（dev 环境跳过）,Kubernetes Event,
事件与历史,event/v1,GET,/apis/v1/events,h.listEvents,internal/apis/event/v1/router.go,否,JWT（dev 环境跳过）,Kubernetes Event,
事件与历史,event/v1,GET,/apis/v1/watch/:resource/:name/events,h.watchResourceEvents,internal/apis/event/v1/router.go,是,JWT（dev 环境跳过）,Kubernetes Event,
事件与历史,event/v1,GET,/apis/v1/watch/events,h.watchEvents,internal/apis/event/v1/router.go,是,JWT（dev 环境跳过）,Kubernetes Event,
删除检查,deletion_check/v1,POST,/api/v1/deletion/check,h.check,internal/apis/deletion_check/v1/router.go,否,JWT（dev 环境跳过）,被删除目标资源依赖检查,
删除检查,deletion_check/v1,POST,/apis/v1/deletion/check,h.check,internal/apis/deletion_check/v1/router.go,否,JWT（dev 环境跳过）,被删除目标资源依赖检查,
存储仓库,disaster_storage/v1,GET,/apis/storage.testudo.softcdata.com/v1/storages,c.storages,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,POST,/apis/storage.testudo.softcdata.com/v1/storages,c.createStorage,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,DELETE,/apis/storage.testudo.softcdata.com/v1/storages/:name,c.deleteStorage,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,GET,/apis/storage.testudo.softcdata.com/v1/storages/:name,c.storage,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,PATCH,/apis/storage.testudo.softcdata.com/v1/storages/:name,c.patchStorage,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,PUT,/apis/storage.testudo.softcdata.com/v1/storages/:name,c.updateStorage,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,GET,/apis/storage.testudo.softcdata.com/v1/storages/:name/validate,c.validateStorage,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,POST,/apis/storage.testudo.softcdata.com/v1/storages/connectivity/validate,c.validateBSLConnectivity,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,GET,/apis/storage.testudo.softcdata.com/v1/storages/names,c.storageNames,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,POST,/apis/storage.testudo.softcdata.com/v1/storages/validate/connection,c.validateS3Connection,internal/apis/disaster_storage/v1/router.go,否,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
存储仓库,disaster_storage/v1,GET,/apis/storage.testudo.softcdata.com/v1/watch/storages,c.watchStorages,internal/apis/disaster_storage/v1/router.go,是,JWT（dev 环境跳过）,StorageRepository、Velero BackupStorageLocation,
容灾任务,disaster_jobs/v1,GET,/apis/disasterjobs.testudo.softcdata.com/v1/jobs,c.configs,internal/apis/disaster_jobs/v1/router.go,否,JWT（dev 环境跳过）,DisasterJob,
容灾任务,disaster_jobs/v1,POST,/apis/disasterjobs.testudo.softcdata.com/v1/jobs,c.createConfig,internal/apis/disaster_jobs/v1/router.go,否,JWT（dev 环境跳过）,DisasterJob,
容灾任务,disaster_jobs/v1,DELETE,/apis/disasterjobs.testudo.softcdata.com/v1/jobs/:name,c.deleteConfig,internal/apis/disaster_jobs/v1/router.go,否,JWT（dev 环境跳过）,DisasterJob,
容灾任务,disaster_jobs/v1,GET,/apis/disasterjobs.testudo.softcdata.com/v1/jobs/:name,c.config,internal/apis/disaster_jobs/v1/router.go,否,JWT（dev 环境跳过）,DisasterJob,
容灾任务,disaster_jobs/v1,GET,/apis/disasterjobs.testudo.softcdata.com/v1/watch/jobs,c.watchJobs,internal/apis/disaster_jobs/v1/router.go,是,JWT（dev 环境跳过）,DisasterJob,
容灾任务,disaster_jobs/v1,GET,/apis/disasterjobs.testudo.softcdata.com/v1/watch/jobs/:name,c.watchJob,internal/apis/disaster_jobs/v1/router.go,是,JWT（dev 环境跳过）,DisasterJob,
容灾备份,disaster_backup/v1,GET,/apis/disasterbackups.testudo.softcdata.com/v1/backups,c.backups,internal/apis/disaster_backup/v1/router.go,否,JWT（dev 环境跳过）,DisasterBackup,
容灾备份,disaster_backup/v1,POST,/apis/disasterbackups.testudo.softcdata.com/v1/backups,c.createBackup,internal/apis/disaster_backup/v1/router.go,否,JWT（dev 环境跳过）,DisasterBackup,
容灾备份,disaster_backup/v1,DELETE,/apis/disasterbackups.testudo.softcdata.com/v1/backups/:name,c.deleteBackup,internal/apis/disaster_backup/v1/router.go,否,JWT（dev 环境跳过）,DisasterBackup,
容灾备份,disaster_backup/v1,GET,/apis/disasterbackups.testudo.softcdata.com/v1/backups/:name,c.backup,internal/apis/disaster_backup/v1/router.go,否,JWT（dev 环境跳过）,DisasterBackup,
容灾备份,disaster_backup/v1,PUT,/apis/disasterbackups.testudo.softcdata.com/v1/backups/:name,c.updateBackup,internal/apis/disaster_backup/v1/router.go,否,JWT（dev 环境跳过）,DisasterBackup,
容灾备份,disaster_backup/v1,GET,/apis/disasterbackups.testudo.softcdata.com/v1/watch/backups,c.watchBackups,internal/apis/disaster_backup/v1/router.go,是,JWT（dev 环境跳过）,DisasterBackup,
容灾备份,disaster_backup/v1,GET,/apis/disasterbackups.testudo.softcdata.com/v1/watch/backups/:name,c.watchBackup,internal/apis/disaster_backup/v1/router.go,是,JWT（dev 环境跳过）,DisasterBackup,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances,h.listInstances,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,POST,/apis/disasterinstances.testudo.softcdata.com/v1/instances,h.createInstance,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,DELETE,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name,h.deleteInstance,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name,h.getInstance,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,PUT,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name,h.updateInstance,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,POST,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/actions,h.executeAction,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/groups,h.getInstanceGroups,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/history,h.getHistory,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/operations/:operationName,h.getOperationDetail,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,POST,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/restore-classes/validate,h.validateRestoreClasses,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/sync-status,h.getSyncStatus,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/instances/:name/validate-target,h.validateTarget,internal/apis/disaster_instance/v1/router.go,否,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/watch/instances,h.watchInstances,internal/apis/disaster_instance/v1/router.go,是,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/watch/instances/:name,h.watchInstance,internal/apis/disaster_instance/v1/router.go,是,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾实例,disaster_instance/v1,GET,/apis/disasterinstances.testudo.softcdata.com/v1/watch/instances/operations/:operationName,h.watchOperation,internal/apis/disaster_instance/v1/router.go,是,JWT（dev 环境跳过）,DisasterInstance、DisasterOperation、DataSync、ResourceSync,
容灾演练,disaster_drill/v1,GET,/apis/disasterdrills.testudo.softcdata.com/v1/drills,h.listDrills,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,POST,/apis/disasterdrills.testudo.softcdata.com/v1/drills,h.createDrill,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,DELETE,/apis/disasterdrills.testudo.softcdata.com/v1/drills/:name,h.deleteDrill,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,GET,/apis/disasterdrills.testudo.softcdata.com/v1/drills/:name,h.getDrill,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,POST,/apis/disasterdrills.testudo.softcdata.com/v1/drills/:name/cleanup,h.cleanupDrill,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,POST,/apis/disasterdrills.testudo.softcdata.com/v1/drills/:name/confirm,h.confirmDrill,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,POST,/apis/disasterdrills.testudo.softcdata.com/v1/drills/:name/restart,h.restartDrill,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,GET,/apis/disasterdrills.testudo.softcdata.com/v1/drills/actions/protected-namespaces,h.getProtectedNamespaces,internal/apis/disaster_drill/v1/router.go,否,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,GET,/apis/disasterdrills.testudo.softcdata.com/v1/watch/drills,h.watchDrills,internal/apis/disaster_drill/v1/router.go,是,JWT（dev 环境跳过）,DisasterDrill,
容灾演练,disaster_drill/v1,GET,/apis/disasterdrills.testudo.softcdata.com/v1/watch/drills/:name,h.watchDrill,internal/apis/disaster_drill/v1/router.go,是,JWT（dev 环境跳过）,DisasterDrill,
容灾策略,disaster_policy/v1,GET,/apis/policies.testudo.softcdata.com/v1/policies,h.policies,internal/apis/disaster_policy/v1/router.go,否,JWT（dev 环境跳过）,DisasterPolicy、AppBackup 引用关系,
容灾策略,disaster_policy/v1,POST,/apis/policies.testudo.softcdata.com/v1/policies,h.createPolicy,internal/apis/disaster_policy/v1/router.go,否,JWT（dev 环境跳过）,DisasterPolicy、AppBackup 引用关系,
容灾策略,disaster_policy/v1,DELETE,/apis/policies.testudo.softcdata.com/v1/policies/:name,h.deletePolicy,internal/apis/disaster_policy/v1/router.go,否,JWT（dev 环境跳过）,DisasterPolicy、AppBackup 引用关系,
容灾策略,disaster_policy/v1,GET,/apis/policies.testudo.softcdata.com/v1/policies/:name,h.policy,internal/apis/disaster_policy/v1/router.go,否,JWT（dev 环境跳过）,DisasterPolicy、AppBackup 引用关系,
容灾策略,disaster_policy/v1,PUT,/apis/policies.testudo.softcdata.com/v1/policies/:name,h.updatePolicy,internal/apis/disaster_policy/v1/router.go,否,JWT（dev 环境跳过）,DisasterPolicy、AppBackup 引用关系,
